state,pre_mean,covid_mean,delta
Puducherry,1.17,22.134999999999998,20.964999999999996
Tamil Nadu,1.83,14.77625,12.94625
Bihar,10.45,21.72625,11.276250000000001
Jharkhand,11.23,21.61625,10.38625
Goa,5.8500000000000005,13.74625,7.896249999999999
Uttarakhand,5.24,12.635,7.395
Karnataka,3.235,8.77625,5.54125
Haryana,23.055,28.5825,5.5275
West Bengal,5.93,11.2575,5.327500000000001
Odisha,2.51,7.45,4.94
Maharashtra,4.82,8.76875,3.9487500000000004
Andhra Pradesh,5.655,9.41625,3.7612499999999995
Kerala,6.455,10.17875,3.723750000000001
Rajasthan,13.065000000000001,16.56875,3.50375
Madhya Pradesh,4.34,7.4825,3.1425
Uttar Pradesh,8.280000000000001,10.10125,1.8212499999999991
Meghalaya,2.625,4.17625,1.5512499999999996
Punjab,11.04,12.21625,1.1762500000000014
Gujarat,5.96,6.48,0.5200000000000005
Assam,4.535,4.93625,0.4012500000000001
Telangana,6.89,6.81875,-0.07125000000000004
Delhi,18.535,18.38375,-0.151250000000001
Himachal Pradesh,16.835,15.872499999999999,-0.9625000000000021
Chhattisgarh,9.015,7.52,-1.495000000000001
Jammu & Kashmir,20.93,15.205714285714285,-5.724285714285715
Tripura,30.535,23.685000000000002,-6.849999999999998
Sikkim,,9.7925,
